Evaluation Only. Created with Aspose.PDF. Copyright 2002-2024 Aspose Pty Ltd.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
PAGE - SCH - 5,,,,,,,,,,,,,,,,,,,
IAN BANHAM & ASSOCIATES,ELECTRICAL,,,,,,,,,,,,,,,,,,
PROJECT :,B+G+M+1 FLOOR CAR SHOWROOM & OFFICE BUILDING DETAILS OF CONNECTED LOAD/MAX. DEMAND,,,,,,,,,,,,,,,,,,
MCCREF :,MCC- CHW,,,,,,CONSULTANT :,,M/S. IAN BANHAM & ASSOCIATES,,,,,,LOCATION : ELECT ROOM,,,,
SR.,CIRCUIT,SP/,RATING - AMPS,,,FAULT,PVC/XLPE,CABLE SIZE,,LENGTH,ECC,CONNECTED LOAD - KW,,,,KWH METER,,,REMARKS
NO,"FEEDER
DB NO.",TP,ACB,MCCB,MCB,"DUTY
KA",SWA/PVC/SC,"2/4x1C
mm²","2/3/4C
mm²","OF
CABLE (Mtrs)","SIZE -1C
mm²","R-PHASE
kW","Y-PHASE
kW","B-PHASE
kW","TOTAL
kW","1 Ph
(1)","3 Ph
(2)","LV/HV CT
(3)",
,INCOMER,TP,,"125
(N/A)",,30,XLPE/SWA/PVC,,4C 50,,1C 25,,,,,,,,
,OUTGOING,,,,,,,,,,,,,,,,,,
1,CHWP-1,TP,,40,,30,XLPE/SWA/PVC,,4C 10,,1C 10,5.83,5.83,5.83,17.5,,,,*
2,CHWP-2,TP,,40,,30,XLPE/SWA/PVC,,4C 10,,1C 10,5.83,5.83,5.83,17.5,,,,*
3,CHWP-3,TP,,40,,30,XLPE/SWA/PVC,,4C 10,,1C 10,5.83,5.83,5.83,17.5,,,,STAND BY
4,PRESSURIZATION UNIT,TP,,20,,30,XLPE/SWA/PVC,,4C 4,,1C 4,1,1,1,3,,,,*
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
MCC- CHW,CONNECTED TO,,LV MDB-2,,,TOTAL CONNECTED LOAD PER PHASE,,,,,,18.5,18.5,18.5,55.5,,,,TOTAL
,DEMAND FACTOR…… MAX. DEMAND…...…kW TOTAL CONNECTED LOAD (3 PHASE)…55.50…kW TOTAL BUILD - UP AREA ......... ACTUAL LOAD (3 PH)…38.00...kW,,,,,,,,,,,,,,,,,,
,CONSULTANTS : M/S. IAN BANHAM AND ASSOCIATES,,,,,,,,,,TEL : 04 - 370 5777,,,,FAX : 04 - 370 5888,,,,
,Type of Meter (Rating of Incomer) :,,,,(1) UPTO 60A,,,(2) UPTO 125A,,,(3) LV CT,……….../………...,,,HV CT ……….../………...A,,,,
,,,,,(1 PHASE),,,(3 PHASE),,,,,,,,,,,
,,,* REFER SINGLE LINE DIAGRAM FOR ELCB RATING,,,,,,,,,,,,,,,,
